ID	LAT	LON	SITE	SEX	MAT	DATE	MONTH	REPRO	CYP	GST	UGT	LPO	NPH	PYR	BaP
SJR14-01	30.4077	-81.5211	SJR	M	M	11/7/2014	11		2.518	20.15	89.91	36.09	NA	NA	NA
SJR14-02	30.4404	-81.4544	SJR	M	I	11/7/2014	11		0.456	9.11	61.62	38.66	336343	3935	230
SJR14-03	30.4514	-81.4470	SJR	M	M	12/2/2014	12		1.165	31.93	73.43	6.62	224403	1220	0
SJR14-04	30.5102	-81.4626	NR	M	M	12/2/2014	12		1.724	18.43	83.23	13.25	202015	1694	0
SJR14-05	30.5457	-81.4652	NR	F	I	12/2/2014	12		2.546	20.71	47.56	10.99	224403	3947	644
SJR14-06	30.6584	-81.4828	SMR	M	M	12/4/2014	12		1.447	30.85	56.05	6.95	187090	1800	0
SJR14-07	30.6584	-81.4828	SMR	F	M	12/4/2014	12		1.551	25.70	9.91	12.62	336343	2090	0
SJR14-08	30.6584	-81.4828	SMR	M	M	12/4/2014	12		2.563	23.47	47.78	6.36	216940	1506	0
SJR15-01	29.8761	-81.6116	SJR	F	M	1/22/2015	1		0.746	21.24	65.33	2.20	925896	11122	9773
SJR15-02	30.3758	-81.5316	SJR	M	I	1/27/2015	1		5.003	9.27	48.70	9.63	2627388	51376	31785
SJR15-03	30.6940	-81.4647	SMR	M	I	2/5/2015	2		8.260	33.78	202.68	5.83	1791567	41914	22976
SJR15-04	30.6940	-81.4647	SMR	M	I	2/5/2015	2		3.374	25.73	44.20	6.44	485597	8853	3622
SJR15-05	30.6940	-81.4647	SMR	M	I	2/5/2015	2		3.963	40.71	41.24	4.86	575149	5996	2269
SJR15-06	30.5749	-81.4735	NR	F	M	2/12/2015	2		3.179	8.00	30.23	14.40	507985	13102	3915
SJR15-07	29.8424	-81.5908	SJR	F	M	2/17/2015	2		0.746	9.32	89.72	2.18	918433	13114	9476
SJR15-08	29.8227	-81.5872	SJR	M	M	2/17/2015	2		0.000	18.54	94.77	15.42	709478	11322	12733
SJR15-09	29.6620	-81.6254	SJR	F	I	3/3/2015	3		2.035	12.87	69.72	6.51	1246791	14796	9862
SJR15-10	29.6620	-81.6254	SJR	F	I	3/3/2015	3		0.578	17.50	29.14	30.58	246791	3992	292
SJR15-11	29.7590	-81.5565	SJR	F	I	3/3/2015	3		0.000	25.17	25.09	1.89	791567	8547	6613
SJR15-12	30.3963	-81.5925	SJR	M	M	3/24/2015	3		1.411	4.00	68.11	5.21	522910	7453	1695
SJR15-13	30.3963	-81.5925	SJR	M	M	3/24/2015	3		3.765	5.69	9.24	4.00	336343	5065	1235
SJR15-14	30.3963	-81.5925	SJR	M	I	3/24/2015	3		2.096	5.82	16.32	6.07	410970	4547	596
SJR15-15	30.3963	-81.5925	SJR	M	M	3/24/2015	3		0.000	12.47	77.88	13.52	2507985	52208	26806
SJR15-16	29.7863	-81.5301	SJR	F	M	4/14/2015	4		2.578	9.94	41.25	13.61	358731	2547	1907
SJR15-17	29.7863	-81.5301	SJR	F	M	4/14/2015	4		0.925	10.46	26.77	8.54	202015	2543	1411
